Name,SMILES,Binary_efficiency,Lipid_ratio,Chol_ratio,Helper_ratio,PEG-ratio
acs.nanolett.2c04883-SAL1,COC1=CC(C=C2C(CCC(OCCCCCCN(CCCN(CCCCCCCCCCC)CCCCCCCCCCCC)CCCCCCCCCCCC)=O)=O)=C(S2)C=C1Br,1,20,40,30,0.75
acs.nanolett.2c04883-SAL2,COC1=CC(C=C2C(CCC(OCCCCCCN(CCCCCCCCC(OC(CC)CCCCC)=O)CCCN(CCCCCCCCC(OC(CC)CCCCC)=O)CCCCCCCCC(OC(CC)CCCCC)=O)=O)=O)=C(S2)C=C1Br,0,20,40,30,0.75
acs.nanolett.2c04883-SAL3,COC1=CC(C=C2C(CCC(OCCCCCCN(CCCCCOC(OCCCCCCCCCC)=O)CCCN(CCCCCOC(OCCCCCCCCCC)=O)CCCCCOC(OCCCCCCCCCC)=O)=O)=O)=C(S2)C=C1Br,1,20,40,30,0.75
acs.nanolett.2c04883-SAL4,COC1=CC(C=C2C(CCC(OCCCCCCN(CCCN(CCCCCCOC(OCCCCCCCCCC)=O)CCCCCCOC(OCCCCCCCCCC)=O)CCCCCCOC(OCCCCCCCCCC)=O)=O)=O)=C(S2)C=C1Br,1,20,40,30,0.75
acs.nanolett.2c04883-SAL5,COC1=CC(C=C2C(CCC(OCCCCCCN(CCCN(CCCCCCOC(C)OCCCCCC)CCCCCCOC(C)OCCCCCC)CCCCCCOC(C)OCCCCCC)=O)=O)=C(S2)C=C1Br,1,20,40,30,0.75
acs.nanolett.2c04883-SAL6,COC1=CC(C=C2C(CCC(OCCCCCCN(CCCN(CCCCCCOCOCCCCCC)CCCCCCOCOCCCCCC)CCCCCCOCOCCCCCC)=O)=O)=C(S2)C=C1Br,1,20,40,30,0.75
acs.nanolett.2c04883-SAL7,COC1=CC(S2)=C(C=C2C(CCC(OCCCCCCN(CCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)CCCCCCCCCCCC)=O)=O)C=C1OC,1,20,40,30,0.75
acs.nanolett.2c04883-SAL8,COC1=CC(S2)=C(C=C2C(CCC(OCCCCCCN(CCCN(CCCCCCCCC(OC(CC)CCCCC)=O)CCCCCCCCC(OC(CC)CCCCC)=O)CCCCCCCCC(OC(CC)CCCCC)=O)=O)=O)C=C1OC,0,20,40,30,0.75
acs.nanolett.2c04883-SAL9,COC1=CC(S2)=C(C=C2C(CCC(OCCCCCCN(CCCN(CCCCCCOC(OCCCCCC)=O)CCCCCCOC(OCCCCCC)=O)CCCCCCOC(OCCCCCC)=O)=O)=O)C=C1OC,1,20,40,30,0.75
acs.nanolett.2c04883-SAL10,COC1=CC(S2)=C(C=C2C(CCC(OCCCCCCN(CCCN(CCCCCCOC(OCCCCCCCCCC)=O)CCCCCCOC(OCCCCCCCCCC)=O)CCCCCCOC(OCCCCCCCCCC)=O)=O)=O)C=C1OC,1,20,40,30,0.75
acs.nanolett.2c04883-SAL11,COC1=CC(S2)=C(C=C2C(CCC(OCCCCCCN(CCCN(CCCCCCOC(C)OCCCCCC)CCCCCCOC(C)OCCCCCC)CCCCCCOC(C)OCCCCCC)=O)=O)C=C1OC,1,20,40,30,0.75
acs.nanolett.2c04883-SAL12,COC1=CC(S2)=C(C=C2C(CCC(OCCCCCCN(CCCN(CCCCCCOCOCCCCCC)CCCCCCOCOCCCCCC)CCCCCCOCOCCCCCC)=O)=O)C=C1OC,1,20,40,30,0.75
acs.nanolett.5b02497-A01,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,0,60,33.5,10,1.5
acs.nanolett.5b02497-A02,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,1,40,42.5,4,2.5
acs.nanolett.5b02497-A03,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,0,60,31.5,16,1.5
acs.nanolett.5b02497-A04,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,0,60,34.5,16,2.5
acs.nanolett.5b02497-A05,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,0,60,29.5,4,1.5
acs.nanolett.5b02497-A06,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,0,40,55.5,10,0.5
acs.nanolett.5b02497-A08,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,0,40,53.5,10,1.5
acs.nanolett.5b02497-A09,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,1,40,47.5,4,2.5
acs.nanolett.5b02497-A10,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,0,60,23.5,10,2.5
acs.nanolett.5b02497-A11,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,0,40,43.5,16,0.5
acs.nanolett.5b02497-A13,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,0,50,38.5,16,2.5
acs.nanolett.5b02497-B15,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,0,30,45.5,4,0.5
acs.nanolett.5b02497-B16,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,1,40,35,22,2.5
acs.nanolett.5b02497-B17,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,1,40,29.5,22,3
acs.nanolett.5b02497-B18,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,0,40,35.5,28,2.5
